City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,277.73,99,100,2.9,GS,1698622805
1,port elizabeth,-33.918,25.5701,287.31,79,20,5.66,ZA,1698622829
2,constantia,44.1833,28.65,285.53,72,0,3.49,RO,1698622842
3,lahad datu,5.0268,118.327,300.23,81,92,0.29,MY,1698623060
4,moree,-29.4667,149.85,300.3,30,0,6.98,AU,1698623060
5,cidade velha,14.9167,-23.6167,298.41,73,20,3.6,CV,1698623061
6,remire-montjoly,4.9167,-52.2667,301.17,83,0,2.06,GF,1698622869
7,antofagasta,-23.65,-70.4,290.75,75,17,2.68,CL,1698623061
8,bairnsdale,-37.8333,147.6167,295.4,44,100,2.24,AU,1698623061
9,jamestown,42.097,-79.2353,282.05,96,100,2.06,US,1698622925
10,albany,42.6001,-73.9662,280.03,93,100,1.0,US,1698623062
11,harstad,68.799,16.5293,272.68,90,98,0.89,NO,1698623062
12,ushuaia,-54.8,-68.3,272.96,93,100,8.94,AR,1698622814
13,morant bay,17.8815,-76.4093,302.94,85,75,2.45,JM,1698623062
14,stanley,54.868,-1.6985,281.08,93,75,4.12,GB,1698623063
15,nova sintra,14.8667,-24.7167,295.96,69,73,3.8,CV,1698623063
16,ilulissat,69.2167,-51.1,269.16,80,100,2.06,GL,1698622891
17,kharkhorin,47.1975,102.8238,270.66,74,100,1.44,MN,1698623063
18,wailua homesteads,22.0669,-159.378,301.59,72,40,4.63,US,1698623064
19,adamstown,-25.066,-130.1015,295.51,83,97,5.55,PN,1698622820
20,north bay,46.3168,-79.4663,278.21,70,100,2.57,CA,1698623062
21,thunder bay,48.4001,-89.3168,272.14,51,100,3.6,CA,1698623064
22,iqaluit,63.7506,-68.5145,264.0,72,100,4.12,CA,1698622903
23,thompson,55.7435,-97.8558,270.24,68,75,5.14,CA,1698623065
24,balaipungut,1.05,101.2833,297.14,95,61,0.19,ID,1698623065
